customerID,gender,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4482-EWFMI,Female,Yes,Electronic check,69.7,135.2,No
4648-YPBTM,Male,Yes,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,Female,No,Mailed check,20.6,233.9,No
6345-FZOQH,Male,No,Mailed check,19.9,1363.45,No
3376-BMGFE,Female,Yes,Bank transfer (automatic),70.9,273,Yes
5997-OPVFA,Male,Yes,Bank transfer (automatic),89.05,6254.45,No
3445-HXXGF,Male,Yes,Electronic check,45.3,2651.2,Yes
1159-WFSGR,Female,No,Electronic check,20.4,321.4,No
7654-YWJUF,Male,Yes,Bank transfer (automatic),84.25,3539.25,No
1875-QIVME,Female,Yes,Electronic check,104.4,242.8,Yes
6727-IOTLZ,Male,No,Mailed check,81.95,1181.75,No
0691-JVSYA,Female,Yes,Bank transfer (automatic),94.85,5000.2,Yes
5918-VUKWP,Female,No,Bank transfer (automatic),20.55,654.55,No
1744-JHKYS,Female,No,Electronic check,24.7,780.2,No
2656-FMOKZ,Female,Yes,Mailed check,74.45,1145.7,Yes
2070-FNEXE,Female,No,Bank transfer (automatic),76.45,503.6,Yes
5947-SGKCL,Female,Yes,Bank transfer (automatic),105.35,1559.25,No
3712-PKXZA,Male,Yes,Credit card (automatic),20.55,1252,No
6317-YPKDH,Female,No,Bank transfer (automatic),29.95,29.95,Yes
6582-OIVSP,Female,No,Mailed check,45.3,45.3,No
9367-WXLCH,Male,No,Bank transfer (automatic),84.5,662.65,Yes
5524-KHNJP,Male,No,Credit card (automatic),74.75,2453.3,No
1918-ZBFQJ,Female,Yes,Electronic check,79.25,1111.65,Yes
1024-GUALD,Female,Yes,Electronic check,24.8,24.8,Yes
4827-USJHP,Male,Yes,Mailed check,51.8,1023.85,No
8167-GJLRN,Male,No,Electronic check,30.4,82.15,No
0956-SYCWG,Female,No,Electronic check,19.65,244.8,No
8017-UVSZU,Female,No,Credit card (automatic),56.6,2379.1,No
7100-FQPRV,Male,Yes,Credit card (automatic),71.9,3173.35,No
2472-OVKUP,Male,Yes,Electronic check,91,531,Yes
2984-RGEYA,Female,No,Bank transfer (automatic),19.75,1375.4,No
9680-NIAUV,Female,No,Credit card (automatic),109.7,8129.3,No
2146-EGVDT,Male,No,Credit card (automatic),19.3,1192.7,No
2604-IJPDU,Female,Yes,Electronic check,96.55,1901.65,No
9178-JHUVJ,Male,Yes,Bank transfer (automatic),24.1,587.4,No
6168-YBYNP,Male,Yes,Electronic check,111.35,6519.75,No
7255-SSFBC,Male,Yes,Bank transfer (automatic),112.25,8041.65,No
3645-DEYGF,Male,No,Mailed check,20.75,20.75,No
9323-HGFWY,Female,Yes,Credit card (automatic),101.9,2681.15,No
8544-GOQSH,Female,Yes,Credit card (automatic),80.05,1112.3,No
3363-DTIVD,Male,No,Electronic check,105.55,7405.5,No
7018-WBJNK,Male,Yes,Credit card (automatic),78.3,1033.95,No
9142-KZXOP,Male,No,Credit card (automatic),68.85,2958.95,No
7674-YTAFD,Female,Yes,Bank transfer (automatic),79.95,2684.85,No
6348-SNFUS,Male,Yes,Credit card (automatic),55.45,4179.2,No
1285-OKIPP,Male,No,Electronic check,79.9,79.9,Yes
7825-ECJRF,Female,Yes,Electronic check,106.6,1934.45,Yes
1347-KTTTA,Male,Yes,Credit card (automatic),102.45,6654.1,No
7841-TZDMQ,Male,Yes,Credit card (automatic),46,84.5,Yes
4195-NZGTA,Female,No,Electronic check,25.25,25.25,No
7157-SMCFK,Male,No,Mailed check,19.75,1124.2,No
4709-LKHYG,Female,No,Electronic check,20,540.05,No
2504-DSHIH,Male,No,Electronic check,86.8,1975.85,No
0699-NDKJM,Female,Yes,Bank transfer (automatic),58.75,3437.45,No
9286-BHDQG,Male,No,Credit card (automatic),45.25,3139.8,No
0230-WEQUW,Male,Yes,Bank transfer (automatic),56.6,3789.2,No
2040-LDIWQ,Male,Yes,Bank transfer (automatic),84.2,5324.5,No
6496-JDSSB,Female,Yes,Bank transfer (automatic),80,624.6,No
9408-SSNVZ,Female,Yes,Electronic check,70.15,268.35,Yes
4443-EMBNA,Female,No,Bank transfer (automatic),24.75,1836.9,No
6469-MRVET,Male,Yes,Electronic check,20.2,20.2,No
0742-MOABM,Male,No,Mailed check,50.05,179.35,Yes
5961-VUSRV,Female,Yes,Bank transfer (automatic),19.35,219.35,No
6778-JFCMK,Male,Yes,Mailed check,50.6,1288.75,No
6341-JVQGF,Female,Yes,Mailed check,81.15,2545.75,No
2232-DMLXU,Female,No,Mailed check,55.2,55.2,Yes
4811-JBUVU,Male,Yes,Credit card (automatic),89.9,2723.15,No
0945-TSONX,Female,Yes,Credit card (automatic),85.3,4107.25,No
2651-ZCBXV,Male,Yes,Credit card (automatic),108,5760.65,No
3316-UWXUY,Male,Yes,Credit card (automatic),93.5,4747.5,No
8937-RDTHP,Male,Yes,Mailed check,84.6,84.6,Yes
7083-MIOPC,Female,No,Credit card (automatic),20.25,1566.9,No
1984-GPTEH,Female,No,Electronic check,25.15,702,No
1251-KRREG,Male,Yes,Mailed check,54.4,114.1,Yes
0621-JFHOL,Female,Yes,Mailed check,29.6,299.05,No
9903-LYSAB,Male,Yes,Electronic check,73.15,1305.95,No
0094-OIFMO,Female,Yes,Electronic check,95,1120.3,Yes
9227-UAQFT,Male,No,Mailed check,19.75,284.35,No
7301-ABVAD,Female,No,Bank transfer (automatic),86.6,6350.5,No
6614-FHDBO,Male,No,Bank transfer (automatic),109.2,7878.3,No
7576-ASEJU,Female,Yes,Credit card (automatic),74.7,3187.65,No
9058-HRZSV,Female,No,Electronic check,94.4,6126.15,No
4522-AKYLR,Female,Yes,Electronic check,54.8,731.3,No
0221-WMXNQ,Male,No,Electronic check,75.35,273.4,No
0303-UNCIP,Male,No,Mailed check,65,2531.8,No
9947-OTFQU,Male,Yes,Electronic check,74.4,1074.3,Yes
0322-YINQP,Male,Yes,Mailed check,48.55,48.55,Yes
0959-WHOKV,Male,Yes,Electronic check,99,4298.45,No
4075-JFPGR,Female,Yes,Electronic check,93.5,4619.55,No
4629-NRXKX,Female,No,Electronic check,70.4,147.15,Yes
9514-JDSKI,Male,No,Electronic check,40.2,40.2,Yes
3282-ZISZV,Male,No,Credit card (automatic),83.7,2633.3,No
3675-YDUPJ,Male,Yes,Mailed check,19.85,193.05,No
4111-BNXIF,Female,Yes,Electronic check,59.55,4103.9,No
7017-VFHAY,Female,No,Credit card (automatic),115.1,7008.15,No
6655-LHBYW,Male,No,Credit card (automatic),114.35,5791.1,No
4959-JOSRX,Female,Yes,Credit card (automatic),44.6,80.55,Yes
5046-NUHWD,Female,Yes,Electronic check,45,1228.65,No
7273-TEFQD,Male,Yes,Electronic check,41.15,132.2,Yes
3606-TWKGI,Male,Yes,Electronic check,106.9,1364.3,Yes
7529-ZDFXI,Male,Yes,Electronic check,89.85,4925.35,No
7605-BDWDC,Female,Yes,Bank transfer (automatic),49.85,1520.1,No
1950-KSVVJ,Female,No,Mailed check,113.3,5032.25,No
0123-CRBRT,Female,No,Mailed check,88.1,5526.75,No
6292-TOSSS,Male,No,Bank transfer (automatic),24.9,1195.25,No
3197-ARFOY,Female,Yes,Mailed check,105,2007.25,No
6323-AYBRX,Male,No,Mailed check,19.35,1099.6,Yes
7014-ZZXAW,Female,Yes,Credit card (automatic),24.25,1732.95,No
4385-GZQXV,Female,Yes,Electronic check,94.45,1511.2,Yes
7633-MVPUY,Male,Yes,Electronic check,59.75,3450.15,No
6366-ZGQGL,Male,No,Bank transfer (automatic),24.8,24.8,Yes
4716-HHKQH,Male,No,Electronic check,107.05,2172.05,No
5940-AHUHD,Male,No,Mailed check,70.6,70.6,Yes
6432-TWQLB,Male,Yes,Electronic check,85.4,401.1,Yes
4484-GLZOU,Female,Yes,Electronic check,105.05,5624.85,Yes
3179-GBRWV,Male,Yes,Bank transfer (automatic),64.95,1339.8,No
8645-KWHJO,Male,Yes,Electronic check,55,771.95,No
4130-MZLCC,Female,No,Bank transfer (automatic),50.55,244.75,No
0314-TKOSI,Female,No,Mailed check,55.15,322.9,No
8229-MYEJZ,Female,No,Electronic check,51.2,498.25,No
2080-SRCDE,Female,No,Mailed check,25.4,25.4,No
9577-WJVCQ,Female,No,Mailed check,54.45,3687.75,No
9512-UIBFX,Male,No,Mailed check,95.15,1779.95,Yes
6202-DYYFX,Female,Yes,Credit card (automatic),76,1783.6,No
3808-HFKDE,Female,Yes,Electronic check,44.35,927.15,No
5583-SXDAG,Male,No,Electronic check,70,70,Yes
3488-PGMQJ,Male,Yes,Electronic check,74.5,606.55,Yes
3580-REOAC,Male,Yes,Credit card (automatic),44.85,435.4,Yes
7534-BFESC,Male,Yes,Electronic check,76.1,1712.7,Yes
3727-OWVYD,Male,No,Mailed check,61.2,2021.2,No
2294-SALNE,Male,No,Mailed check,86.8,1940.8,No
4847-TAJYI,Female,Yes,Electronic check,89.35,567.8,No
1563-IWQEX,Female,No,Mailed check,19.7,220.35,No
8203-XJZRC,Male,No,Mailed check,20.25,20.25,No
6556-DBKZF,Female,No,Electronic check,76.05,5436.45,No
6851-WEFYX,Male,Yes,Electronic check,100.8,3437.5,No
2985-JUUBZ,Male,Yes,Electronic check,74.55,3015.75,No
6390-DSAZX,Female,Yes,Mailed check,73.6,73.6,Yes
0895-LMRSF,Male,Yes,Bank transfer (automatic),64.9,1509.8,No
8098-LLAZX,Female,Yes,Electronic check,95.45,396.1,Yes
8266-VBFQL,Male,Yes,Electronic check,90.4,356.65,No
8181-YHCMF,Female,No,Credit card (automatic),60.3,4109,No
2240-HSJQD,Male,Yes,Mailed check,81.85,3141.7,No
1248-DYXUB,Male,No,Mailed check,24.8,1229.1,No
0265-EDXBD,Male,Yes,Electronic check,74.9,2303.35,Yes
4115-BNPJY,Male,No,Mailed check,75.55,2054.4,No
3167-SNQPL,Male,No,Electronic check,101.15,3741.85,No
4091-TVOCN,Male,Yes,Credit card (automatic),78.75,3682.45,No
1098-TDVUQ,Female,Yes,Bank transfer (automatic),19.25,19.25,No
7277-OZCGZ,Female,Yes,Electronic check,89.05,1886.25,No
1557-EMYVT,Female,No,Credit card (automatic),115.05,4895.1,No
2799-ARNLO,Female,Yes,Electronic check,69.35,341.6,No
7563-BIUPC,Male,Yes,Electronic check,80.6,415.55,Yes
5027-YOCXN,Male,No,Credit card (automatic),110.05,5686.4,No
3973-SKMLN,Male,Yes,Credit card (automatic),19.9,1355.1,No
2321-OMBXY,Female,No,Credit card (automatic),80.3,3058.65,Yes
2840-XANRC,Male,Yes,Electronic check,93.15,2231.05,Yes
6745-JEFZB,Male,Yes,Credit card (automatic),91.5,3236.35,No
5020-ZSTTY,Female,No,Bank transfer (automatic),82.45,4350.1,Yes
9880-TDQAC,Female,Yes,Electronic check,60,4264,No
8705-WZCYL,Male,Yes,Electronic check,44.8,44.8,No
7102-JJVTX,Female,No,Mailed check,48.6,422.3,No
8626-PTQGE,Male,Yes,Bank transfer (automatic),60.05,4176.7,No
4983-CLMLV,Female,Yes,Credit card (automatic),102.7,5138.1,No
5701-YVSVF,Female,Yes,Electronic check,82.9,880.05,No
5804-LEPIM,Female,Yes,Electronic check,70.35,139.05,Yes
5697-GOMBF,Female,Yes,Electronic check,35.9,973.65,No
2739-CACDQ,Female,Yes,Credit card (automatic),82.65,1470.05,No
9385-EHGDO,Female,Yes,Mailed check,19.85,739.35,No
9498-FIMXL,Female,Yes,Mailed check,19.2,161.95,No
2379-GYFLQ,Male,Yes,Credit card (automatic),94.9,4422.95,No
0122-OAHPZ,Female,Yes,Electronic check,73.85,511.25,Yes
2868-SNELZ,Female,No,Mailed check,80.6,155.8,Yes
4322-RCYMT,Male,Yes,Bank transfer (automatic),75.8,5293.95,Yes
6680-NENYN,Female,Yes,Electronic check,104.6,4759.85,Yes
2088-IEBAU,Female,Yes,Electronic check,88.15,6148.45,No
7982-VCELR,Female,Yes,Credit card (automatic),94.8,3565.65,No
1343-EHPYB,Male,Yes,Electronic check,103.4,6603,Yes
6035-BXTTY,Female,No,Bank transfer (automatic),54.65,1830.1,No
6885-PKOAM,Female,No,Credit card (automatic),85.75,6223.8,No
7520-HQWJU,Female,Yes,Bank transfer (automatic),67.45,4508.65,No
9639-BUJXT,Male,No,Mailed check,20.5,1328.15,No
5924-SNGKP,Female,Yes,Credit card (automatic),20.25,865,No
0021-IKXGC,Female,Yes,Electronic check,72.1,72.1,No
2034-GDRCN,Female,Yes,Electronic check,90.4,168.2,Yes
8966-SNIZF,Female,No,Bank transfer (automatic),19.45,1303.5,No
6243-OZGFH,Female,Yes,Electronic check,44.95,996.85,No
4654-DLAMQ,Female,No,Bank transfer (automatic),97,6430.9,No
0513-RBGPE,Male,Yes,Credit card (automatic),62.8,2278.75,No
5160-UXJED,Male,No,Mailed check,44.6,681.4,No
4115-NZRKS,Female,Yes,Electronic check,89.15,574.35,No
0219-YTZUE,Male,Yes,Bank transfer (automatic),84.8,371.9,Yes
0623-IIHUG,Female,Yes,Electronic check,41.9,840.1,Yes
4572-DVCGN,Female,Yes,Bank transfer (automatic),80.25,846,Yes
3351-NGXYI,Female,Yes,Electronic check,54.1,889,No
8984-EYLLL,Male,Yes,Electronic check,105.25,6823.4,No
9057-MSWCO,Male,No,Credit card (automatic),30.75,805.1,Yes
9833-TGFHX,Male,No,Electronic check,97.1,4016.75,No
9294-TDIPC,Male,No,Mailed check,20.2,83.75,No
5229-DTFYB,Female,Yes,Bank transfer (automatic),98.8,3959.15,No
0104-PPXDV,Male,No,Credit card (automatic),50.3,2878.55,No
5176-LMJXE,Female,Yes,Mailed check,20.55,945.7,No
3583-KRKMD,Male,Yes,Bank transfer (automatic),75.9,1373.05,No
1010-DIAUQ,Male,No,Bank transfer (automatic),96.5,492.55,Yes
9069-LGEUL,Male,Yes,Bank transfer (automatic),59.95,1406,No
7302-ZHMHP,Female,No,Mailed check,19.15,19.15,No
9571-EDEBV,Male,Yes,Credit card (automatic),98.65,6962.85,No
3520-FJGCV,Male,Yes,Credit card (automatic),112.6,8126.65,No
6563-VRERX,Male,No,Mailed check,20.6,690.25,No
0259-GBZSH,Male,Yes,Electronic check,85.65,181.5,Yes
6122-EFVKN,Male,No,Mailed check,35.75,830.8,No
2805-EDJPQ,Female,Yes,Credit card (automatic),99.75,5608.4,No
6862-CQUMB,Male,Yes,Credit card (automatic),96.1,3646.8,No
7156-MXBJE,Female,No,Credit card (automatic),85.1,3662.25,No
6158-HDPXZ,Male,No,Mailed check,25.35,25.35,No
9601-BRXPO,Female,Yes,Bank transfer (automatic),104.95,2566.5,Yes
2863-IMQDR,Female,No,Electronic check,89.65,5308.7,No
5686-CMAWK,Male,No,Electronic check,86.75,1410.25,No
5651-CRHKQ,Female,Yes,Bank transfer (automatic),86.2,3339.05,No
6905-NIQIN,Male,No,Mailed check,50.65,50.65,Yes
8204-YJCLA,Male,Yes,Bank transfer (automatic),64.8,4732.35,No
5167-ZFFMM,Male,Yes,Credit card (automatic),90.85,90.85,Yes
6583-SZVGP,Male,Yes,Bank transfer (automatic),108.1,5067.45,No
4895-TMWIR,Male,No,Mailed check,19.95,214.75,Yes
0533-BNWKF,Female,Yes,Electronic check,85.45,4874.7,Yes
1708-PBBOA,Female,Yes,Electronic check,54.75,2348.45,No
8782-LKFPK,Male,Yes,Mailed check,90.4,4063,No
5522-JBWMO,Male,No,Electronic check,44,44,No
3597-MVHJT,Female,Yes,Bank transfer (automatic),95.6,2595.25,No
9774-NRNAU,Male,Yes,Bank transfer (automatic),84.8,2309.55,No
0224-RLWWD,Female,Yes,Electronic check,44.3,89.3,No
9967-ATRFS,Female,No,Mailed check,19.9,367.55,No
3951-NJCVI,Female,Yes,Electronic check,95.05,3944.5,No
2977-CEBSX,Female,Yes,Credit card (automatic),90.05,5965.95,No
0177-PXBAT,Male,Yes,Bank transfer (automatic),109.9,3694.7,No
6599-CEBNN,Female,Yes,Credit card (automatic),73.95,2524.45,Yes
2519-ERQOJ,Male,Yes,Electronic check,54.6,1803.7,No
5876-QMYLD,Female,No,Mailed check,20.05,415.1,No
2277-AXSDC,Female,No,Bank transfer (automatic),19.75,624.15,No
9442-JTWDL,Female,No,Credit card (automatic),20.05,237.7,No
0979-PHULV,Male,Yes,Credit card (automatic),99.45,7007.6,Yes
3067-SVMTC,Female,No,Bank transfer (automatic),55.9,3848.8,No
5495-GPSRW,Male,Yes,Mailed check,19.7,419.4,No
7606-BPHHN,Male,Yes,Credit card (automatic),19.8,1468.75,No
4742-DRORA,Male,Yes,Bank transfer (automatic),95.4,5812,No
0111-KLBQG,Male,Yes,Mailed check,93.95,2861.45,No
4800-VHZKI,Female,Yes,Mailed check,19.9,19.9,Yes
7989-CHGTL,Male,Yes,Mailed check,19.6,19.6,Yes
